eventCode,shortName,week,month,semester,year,startDate,finishDate,startTime,endTime,project,individualsNEEDED,milestone,status,PreCovidDATE,References,attachment,cost,DateDue,Chapter,Focus,Abstract,Structure,GeneralDesc,Tasks ,Notes,AntCOMS,Bernds Comments,Richards Comments,costCentre
repayTIME9,daveChoqScholarship,,april,,2020,17/07/2020,17/07/2020,15:00,15:00,finances,Anthony,Lifemilestone31,Complete,17/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME10,daveChoqScholarship,,april,,2020,18/07/2020,18/07/2020,15:00,15:00,finances,Anthony,Lifemilestone32,Complete,18/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME11,daveChoqScholarship,,may,,2020,19/07/2020,19/07/2020,15:00,15:00,finances,Anthony,Lifemilestone33,Complete,19/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME12,daveChoqScholarship,,may,,2020,20/07/2020,20/07/2020,15:00,15:00,finances,Anthony,Lifemilestone34,Complete,20/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME13,daveChoqScholarship,,may,,2020,21/07/2020,21/07/2020,15:00,15:00,finances,Anthony,Lifemilestone35,Complete,21/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME14,daveChoqScholarship,,march,,2020,22/07/2020,22/07/2020,15:00,15:00,finances,Anthony,Lifemilestone36,Complete,22/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME15,daveChoqScholarship,,march,,2020,23/07/2020,23/07/2020,15:00,15:00,finances,Anthony,Lifemilestone37,Complete,23/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
phd20200701013,tidyPipesPhD,,may,,2020,,,,,PhD,Anthony,PhDmilestone 14,On Target,8/11/2019,,www.github.com/davan690/tidyPipes/,NA,NA,1,NA,NA,NA,key tasks,Introduction,Comments on reproducibility,General literauture points to:,"I guess the most important ""function"" of this chapter is the literature on mesopredator system and how they are modellng (broader than only the NZ case). So here I would start very broad and finish with a description of your case and how it is placed in the literature and where it adds new findings (closes gaps)",NA,
repayTIME16,daveChoqScholarship,,april,,2020,24/07/2020,24/07/2020,15:00,15:00,finances,Anthony,Lifemilestone38,Complete,24/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME17,daveChoqScholarship,,april,,2020,25/07/2020,25/07/2020,15:00,15:00,finances,Anthony,Lifemilestone40,Complete,25/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
